State,Agency,Category,Offense,Crimes
California,DPR: Shasta County,Total,"Total, all crimes",NA
California,DPR: Sierra,Total,"Total, all crimes",81
California,DPR: Silverado,Total,"Total, all crimes",5
California,DPR: Solano County,Total,"Total, all crimes",NA
California,Dpr: Tehachapi District,Total,"Total, all crimes",53
California,DPR: Twin Cities,Total,"Total, all crimes",25
California,DPR: Upper Valley,Total,"Total, all crimes",NA
California,Duarte,Total,"Total, all crimes",859
California,Dublin,Total,"Total, all crimes","2,067"
California,Dunsmuir,Total,"Total, all crimes",23
California,E Bay Municipal Utility,Total,"Total, all crimes",9
California,E Bay Reg Pk: Contra Costa,Total,"Total, all crimes",93
California,E Bay Reg Pks: Alameda Co,Total,"Total, all crimes",156
California,East Palo Alto,Total,"Total, all crimes","1,102"
California,Eastvale,Total,"Total, all crimes",508
California,El Cajon,Total,"Total, all crimes","5,806"
California,El Camino College,Total,"Total, all crimes",31
California,El Centro,Total,"Total, all crimes","2,582"
California,El Cerrito,Total,"Total, all crimes","1,170"
California,El Dorado County,Total,"Total, all crimes","5,210"
California,El Dorado Highway Patrol,Total,"Total, all crimes",861
California,El Monte,Total,"Total, all crimes","3,178"
California,El Segundo,Total,"Total, all crimes",918
California,Elk Grove,Total,"Total, all crimes","1,886"
California,Emeryville,Total,"Total, all crimes","1,013"
California,Encinitas,Total,"Total, all crimes","1,654"
California,Escalon,Total,"Total, all crimes",298
California,Escondido,Total,"Total, all crimes","6,921"
California,Etna,Total,"Total, all crimes",6
California,Eureka,Total,"Total, all crimes","5,276"
California,Exeter,Total,"Total, all crimes",528
California,Fairfax,Total,"Total, all crimes",324
California,Fairfield,Total,"Total, all crimes","5,412"
California,Fairview Developmtl Ctr,Total,"Total, all crimes",2
California,Farmersville,Total,"Total, all crimes",499
California,Ferndale,Total,"Total, all crimes",56
California,Fillmore,Total,"Total, all crimes","1,585"
California,Firebaugh,Total,"Total, all crimes",509
California,Folsom,Total,"Total, all crimes","1,460"
California,Fontana,Total,"Total, all crimes","6,818"
California,Fontana Unified Sch Dist,Total,"Total, all crimes","1,145"
California,Foothill-De Anza College,Total,"Total, all crimes",23
California,Fort Bragg,Total,"Total, all crimes",953
California,Fort Jones,Total,"Total, all crimes",11
California,Fortuna,Total,"Total, all crimes",987
California,Foster City,Total,"Total, all crimes",262
California,Fountain Valley,Total,"Total, all crimes","2,154"
California,Fowler,Total,"Total, all crimes",147
California,Fremont,Total,"Total, all crimes","5,082"
California,Fresno,Total,"Total, all crimes","36,711"
California,Fresno Atsf Railway,Total,"Total, all crimes",NA
California,Fresno Community College,Total,"Total, all crimes",117
California,Fresno County,Total,"Total, all crimes","6,061"
California,Fresno Highway Patrol,Total,"Total, all crimes","2,912"
California,Fresno State Police,Total,"Total, all crimes",NA
California,Fullerton,Total,"Total, all crimes","6,981"
California,Galt,Total,"Total, all crimes",637
California,Garden Grove,Total,"Total, all crimes","8,645"
California,Gardena,Total,"Total, all crimes","2,996"
California,Gilroy,Total,"Total, all crimes","2,343"
California,Glendale,Total,"Total, all crimes","8,231"
California,Glendora,Total,"Total, all crimes","2,790"
California,Glenn County,Total,"Total, all crimes",486
California,Glenn Highway Patrol,Total,"Total, all crimes",229
California,Goleta,Total,"Total, all crimes","1,248"
California,Gonzales,Total,"Total, all crimes",379
California,Grand Terrace,Total,"Total, all crimes",816
California,Grant Joint Union H.S.,Total,"Total, all crimes",476
California,Grass Valley,Total,"Total, all crimes","1,558"
California,Greenfield,Total,"Total, all crimes",590
California,Gridley,Total,"Total, all crimes",589
California,Grover Beach,Total,"Total, all crimes",934
California,Guadalupe,Total,"Total, all crimes",222
California,Gustine,Total,"Total, all crimes",356
California,Half Moon Bay,Total,"Total, all crimes",NA
California,Hanford,Total,"Total, all crimes","4,630"
California,Hawaiian Gardens,Total,"Total, all crimes",808
California,Hawthorne,Total,"Total, all crimes","3,078"
California,Hayward,Total,"Total, all crimes","4,782"
California,Healdsburg,Total,"Total, all crimes",352
California,Hemet,Total,"Total, all crimes","3,498"
California,Hercules,Total,"Total, all crimes",376
California,Hermosa Beach,Total,"Total, all crimes","1,166"
California,Hesperia,Total,"Total, all crimes","2,975"
California,Hidden Hills,Total,"Total, all crimes",13
California,Highland,Total,"Total, all crimes","2,152"
California,Hillsborough,Total,"Total, all crimes",43
California,Hollister,Total,"Total, all crimes","1,096"
California,Holtville,Total,"Total, all crimes",NA
California,Hughson,Total,"Total, all crimes",152
California,Humboldt County,Total,"Total, all crimes","2,287"
California,Humboldt Highway Patrol,Total,"Total, all crimes",880
California,Humboldt State University,Total,"Total, all crimes",116
California,Huntington Beach,Total,"Total, all crimes","7,600"
California,Huntington Park,Total,"Total, all crimes","2,169"
California,Huron,Total,"Total, all crimes",471
California,Imperial,Total,"Total, all crimes",529
California,Imperial Beach,Total,"Total, all crimes","1,561"
California,Imperial County,Total,"Total, all crimes","4,523"
California,Imperial Highway Patrol,Total,"Total, all crimes",759
California,Indian Wells,Total,"Total, all crimes",121
California,Indio,Total,"Total, all crimes","2,793"
California,Industry,Total,"Total, all crimes","1,437"
California,Inglewood,Total,"Total, all crimes","2,520"
California,Inyo County,Total,"Total, all crimes",480
California,Inyo Highway Patrol,Total,"Total, all crimes",198
California,Ione,Total,"Total, all crimes",180
California,Irvine,Total,"Total, all crimes","4,312"
California,Irwindale,Total,"Total, all crimes",576
California,Isleton,Total,"Total, all crimes",NA
California,Jackson,Total,"Total, all crimes",207
California,Jurupa Valley,Total,"Total, all crimes","2,966"
California,Kensington,Total,"Total, all crimes",39
California,Kerman,Total,"Total, all crimes",894
California,Kern County,Total,"Total, all crimes","19,372"
California,Kern Highway Patrol,Total,"Total, all crimes","3,927"
California,Kern Santa Fe Railway,Total,"Total, all crimes",NA
California,Kern State Police,Total,"Total, all crimes",NA
California,King City,Total,"Total, all crimes",647
California,Kings,Total,"Total, all crimes","4,115"
California,Kings Highway Patrol,Total,"Total, all crimes",613
California,Kings Santa Fe Railway,Total,"Total, all crimes",NA
California,Kings State Police,Total,"Total, all crimes",NA
California,Kingsburg,Total,"Total, all crimes",448
California,L.A. Co Mtr Trns Authority,Total,"Total, all crimes","11,552"
California,L.A. Trans Services Bureau,Total,"Total, all crimes",360
California,La Canada Flintridge,Total,"Total, all crimes",186
California,La Habra,Total,"Total, all crimes","2,755"
California,La Habra Heights,Total,"Total, all crimes",64
California,La Mesa,Total,"Total, all crimes","2,568"
California,La Mirada,Total,"Total, all crimes","1,092"
California,La Palma,Total,"Total, all crimes",497
California,La Puente,Total,"Total, all crimes","1,676"
California,La Quinta,Total,"Total, all crimes","1,277"
California,La Verne,Total,"Total, all crimes",923
California,Lafayette,Total,"Total, all crimes",172
California,Laguna Beach,Total,"Total, all crimes","2,111"
California,Laguna Hills,Total,"Total, all crimes",866
California,Laguna Niguel,Total,"Total, all crimes",987
California,Laguna Woods,Total,"Total, all crimes",69
California,Lake County,Total,"Total, all crimes","2,295"
California,Lake Elsinore,Total,"Total, all crimes","1,836"
California,Lake Forest,Total,"Total, all crimes","2,149"
California,Lake Highway Patrol,Total,"Total, all crimes",415
California,Lake Shastina,Total,"Total, all crimes",11
California,Lakeport,Total,"Total, all crimes",482
California,Lakewood,Total,"Total, all crimes","2,172"
California,Lancaster,Total,"Total, all crimes","11,355"
California,Lanterman State Hospital,Total,"Total, all crimes",NA
California,Lassen County,Total,"Total, all crimes",671
California,Lassen Highway Patrol,Total,"Total, all crimes",266
California,Lawndale,Total,"Total, all crimes","1,440"
California,Lemon Grove,Total,"Total, all crimes","1,450"
California,Lemoore,Total,"Total, all crimes","1,663"
California,Lincoln,Total,"Total, all crimes",377
California,Lindsay,Total,"Total, all crimes","1,103"
California,Livermore,Total,"Total, all crimes","3,145"
California,Livingston,Total,"Total, all crimes",317
California,Lodi,Total,"Total, all crimes","4,597"
California,Loma Linda,Total,"Total, all crimes","1,475"
California,Lomita,Total,"Total, all crimes",814
California,Lompoc,Total,"Total, all crimes","2,449"
California,Long Beach,Total,"Total, all crimes","25,291"
California,Long Beach City College,Total,"Total, all crimes",NA
California,Los Alamitos,Total,"Total, all crimes",447
California,Los Altos,Total,"Total, all crimes",206
California,Los Altos Hills,Total,"Total, all crimes",9
California,Los Angeles,Total,"Total, all crimes","124,590"
California,Los Angeles City College,Total,"Total, all crimes",NA
California,Los Angeles County,Total,"Total, all crimes","60,044"
California,Los Angeles Highway Patr,Total,"Total, all crimes","19,054"
California,Los Angeles Santa Fe Railway,Total,"Total, all crimes",NA
California,Los Angeles State Police,Total,"Total, all crimes",NA
California,Los Banos,Total,"Total, all crimes","1,876"
California,Los Gatos,Total,"Total, all crimes",658
California,Lynwood,Total,"Total, all crimes","3,603"
California,Madera,Total,"Total, all crimes","3,424"
California,Madera County,Total,"Total, all crimes","1,203"
California,Madera Highway Patrol,Total,"Total, all crimes","1,046"
California,Madera Santa Fe Railway,Total,"Total, all crimes",NA
California,Malibu,Total,"Total, all crimes",747
California,Mammoth Lakes,Total,"Total, all crimes",264
California,Manhattan Beach,Total,"Total, all crimes","1,414"
California,Manteca,Total,"Total, all crimes","2,854"
California,Maricopa,Total,"Total, all crimes",NA
California,Marin Co Major Crimes Tf,Total,"Total, all crimes",NA
California,Marin Community College,Total,"Total, all crimes",11
California,Marin County,Total,"Total, all crimes","1,724"
California,Marin Highway Patrol,Total,"Total, all crimes",880
California,Marina,Total,"Total, all crimes","1,203"
California,Mariposa County,Total,"Total, all crimes","1,015"
California,Mariposa Highway Patrol,Total,"Total, all crimes",59
California,Martinez,Total,"Total, all crimes","1,352"
California,Marysville,Total,"Total, all crimes","1,636"
California,Maywood,Total,"Total, all crimes","1,002"
California,McFarland,Total,"Total, all crimes",345
California,Mendocino County,Total,"Total, all crimes","2,624"
California,Mendocino Highway Patrol,Total,"Total, all crimes",966
California,Mendota,Total,"Total, all crimes",933
California,Menifee,Total,"Total, all crimes","1,072"
California,Menlo Park,Total,"Total, all crimes","1,098"
California,Merced,Total,"Total, all crimes","5,138"
California,Merced College,Total,"Total, all crimes",NA
California,Merced County,Total,"Total, all crimes","2,170"
California,Merced Highway Patrol,Total,"Total, all crimes","1,061"
California,Merced State Police,Total,"Total, all crimes",NA
California,Mill Valley,Total,"Total, all crimes",240
California,Millbrae,Total,"Total, all crimes",NA
California,Milpitas,Total,"Total, all crimes","2,030"
California,Mission Viejo,Total,"Total, all crimes","1,786"
California,Modesto,Total,"Total, all crimes","12,787"
California,Modesto J C Yosemite Cc,Total,"Total, all crimes",NA
California,Modoc County,Total,"Total, all crimes",416
California,Modoc Highway Patrol,Total,"Total, all crimes",82
California,Mono County,Total,"Total, all crimes",139
California,Mono Highway Patrol,Total,"Total, all crimes",123
California,Monrovia,Total,"Total, all crimes","1,273"
California,Montague,Total,"Total, all crimes",13
California,Montclair,Total,"Total, all crimes","2,228"
California,Monte Sereno,Total,"Total, all crimes",33
California,Montebello,Total,"Total, all crimes","2,099"
California,Monterey,Total,"Total, all crimes","1,714"
California,Monterey County,Total,"Total, all crimes","2,853"
California,Monterey Highway Patrol,Total,"Total, all crimes","1,654"
California,Monterey Park,Total,"Total, all crimes","1,120"
California,Monterey Peninsula Airpo,Total,"Total, all crimes",3
California,Moorpark,Total,"Total, all crimes","1,721"
California,Moraga,Total,"Total, all crimes",116
California,Moreno Valley,Total,"Total, all crimes","7,286"
California,Morgan Hill,Total,"Total, all crimes","1,573"
California,Morro Bay,Total,"Total, all crimes",628
California,Mount Shasta,Total,"Total, all crimes",189
California,Mountain View,Total,"Total, all crimes","3,147"
California,Murrieta,Total,"Total, all crimes","2,846"
California,Napa,Total,"Total, all crimes","2,905"
California,Napa County,Total,"Total, all crimes",854
California,Napa Highway Patrol,Total,"Total, all crimes",524
California,Napa State Hosp Napa Co,Total,"Total, all crimes",18
California,National City,Total,"Total, all crimes","2,882"
